province,district,facility_label,name,HMIS_Code,location,ownership,facility_type,operational_stutus,catchment_population,longitude,latitude
Copperbelt,Mufulira,Mupambe HP,Mupambe Health Post,2090380,Peri-Urban,GRZ,Health Post,Yes,,28.27325236,-12.54000418
Copperbelt,Mufulira,Mupena HP, Mupena Health Post,2090960,Rural,GRZ,Health Post,Yes,3710,28.39977329,-12.55143958
Copperbelt,Mufulira,Murundu RHC, Murundu Rural Health Centre,2090280,Peri-Urban,GRZ,Urban Health Centre,Yes,10275,28.31936435,-12.48643264
Copperbelt,Mufulira,Mutundu RHC, Mutundu Rural Health Centre,2090290,Rural,GRZ,Rural Health Centre,Yes,2510,28.35107954,-12.59338887
Copperbelt,Mufulira,Ronald Ross HAHC, Ronald Ross Hospital Affiliated Health Centre,209003,Urban,GRZ,Level 2 Hospital Provincial,Yes,,28.2421915,-12.5482501
Copperbelt,Mufulira,Ronald Ross Hospital, Ronald Ross Hospital,2090030,Urban,GRZ,Urban Health Centre,Yes,2966,28.2421616,-12.54822663
Copperbelt,Mufulira,Triple S HP, Triple S Health Post,2090034,Rural,GRZ,Rural Health Centre,Yes,,28.11493183,-12.5560441
Copperbelt,Mufulira,Twatasha UHC, Twatasha Urban Health Centre,2090320,Urban,GRZ,Urban Health Centre,Yes,8604,28.26733327,-12.57341182
Copperbelt,Ndola,21 Miles HP, 21 Miles Health Post,210069,Peri-Urban,GRZ,Health Post,Yes,1500,28.46853617,-12.75245104
Copperbelt,Ndola,Arthur Davison Hospital, Arthur Davison Hospital,210001,Urban,GRZ,Level 3 Hospital Tertiary,Yes,,28.64721196,-12.94800022
Copperbelt,Ndola,Bank Of Zambia UHC, Bank of Zambia Urban Health Centre,210011,Urban,Private,Urban Health Centre,Yes,,28.64974167,-12.97083
Copperbelt,Ndola,Catholic Diocese HP,Catholic Diocese Health Post,210071,Urban,Faith Based,Health Post,Yes,,28.62709211,-13.02005091
Copperbelt,Ndola,Chichetekelo UHC, Chichetekelo Urban Health Centre,210017,Urban,Faith Based,Urban Health Centre,Yes,,28.6164881,-13.00012335
Copperbelt,Ndola,Chilanga Cement UHC, Chilanga Cement Urban Health Centre,210013,Urban,Private,Rural Health Centre,No,,28.68534067,-12.97659158
Copperbelt,Ndola,Chinan UHC, CHINAN Urban Health Centre,210014,Urban,Private,Urban Health Centre,Yes,,28.6466491,-12.96882446
Copperbelt,Ndola,Chipokota Mayamba UHC, Chipokota Mayamba Urban Health Centre,210012,Urban,GRZ,Health Post,Yes,53574,28.60939833,-12.93191667
Copperbelt,Ndola,Chipolopolo HP,Chipolopolo Health Post,210083,Rural,GRZ,Health Post,No,,28.4664558,-12.8314796
Copperbelt,Ndola,Daghamskhoeld HP, Daghamskhoeld Health Post,210066,Urban,GRZ,Health Post,Yes,,28.59667861,-12.96912114
Copperbelt,Ndola,Dola Hill UHC, Dola Hill Urban Health Centre,210073,Urban,GRZ,Urban Health Centre,Yes,8548,28.59434015,-12.9607682
Copperbelt,Ndola,Dr. Bhatts UHC,Dr. Bhatts UHC,210074,Urban,Private,Urban Health Centre,Yes,,28.64581788,-12.97580347
Copperbelt,Ndola,Healton Clinic UHC,Healton Clinic UHC,210076,Urban,Private,Urban Health Centre,Yes,,28.64631999,-12.97536968
Copperbelt,Ndola,Hilltop Hospital, Hilltop Hospital,210055,Urban,Private,Level 1 Hospital District,Yes,,28.63947401,-12.97742292
Copperbelt,Ndola,Indeni UHC, Indeni Urban Health Centre,210019,Urban,GRZ,Urban Health Centre,Yes,,28.67858684,-13.03795107
Copperbelt,Ndola,Itawa Urban Health Centre, Itawa Urban  Health Centre,210061,Urban,GRZ,Urban Health Centre,Yes,6000,28.65091324,-12.99137919
Copperbelt,Ndola,Kabushi UHC, Kabushi Urban Health Centre,210018,Urban,GRZ,Urban Health Centre,Yes,28317,28.62820483,-13.00146617
Copperbelt,Ndola,Kalewa Barracks UHC, Kalewa Barracks Urban Health Centre,210031,Urban,Military,Health Post,Yes,9047,28.63448167,-12.94681333
Copperbelt,Ndola,Kaloko UHC, Kaloko Urban Health Centre,210020,Urban,GRZ,Rural Health Centre,Yes,16500,28.63638612,-13.03879936
Copperbelt,Ndola,Kamensopanshi HP, Kamensopanshi Health Post,210057,Peri-Urban,GRZ,Health Post,Yes,,28.49407032,-12.97892654
Copperbelt,Ndola,Kaniki UHC, Kaniki Urban Health Centre,210021,Urban,GRZ,Urban Health Centre,Yes,10337,28.53224271,-12.86054187
Copperbelt,Ndola,Kansheshi Prison UHC, Kansheshi Prison Urban Health Centre,210022,Urban,GRZ,Urban Health Centre,Yes,11647,28.62507167,-12.94328667
Copperbelt,Ndola,Kantolomba HP Kansime Anne. HP,Kantolomba Health Post Kansime Anne. Health Post,210054,Urban,NGO,Health Post,No,,28.60101939,-13.00757203
Copperbelt,Ndola,Katondo Health Centre, Katondo Health Centre,210053,Urban,GRZ,Health Post,Yes,4000,28.69767423,-13.02220908
Copperbelt,Ndola,Kavu UHC, Kavu Urban Health Centre,210023,Peri-Urban,Faith Based,Level 1 Hospital District,Yes,1500,28.66689961,-13.09352553
Copperbelt,Ndola,Kawama UHC, Kawama Urban Health Centre (Ndola),210024,Urban,GRZ,Urban Health Centre,Yes,22136,28.61804,-12.91422833
Copperbelt,Ndola,Kopa Urban Health Centre, Kopa Urban  Health Centre,210052,Urban,Private,Urban Health Centre,Yes,,28.63843184,-12.96697183
Copperbelt,Ndola,Lubuto UHC, Lubuto Urban Health Centre,210027,Urban,GRZ,Urban Health Centre,Yes,51112,28.6158029,-13.00752626
Copperbelt,Ndola,Madando HP, Madando Health Post,210063,Rural,GRZ,Health Post,Yes,1000,28.58749731,-13.02510354
Copperbelt,Ndola,Mahatma Gandhi UHC, Mahatma Gandhi Urban Health Centre,210015,Urban,GRZ,Urban Health Centre,Yes,43556,28.65767333,-12.94453667
Copperbelt,Ndola,Masala Main UHC, Masala Main Urban Health Centre,210029,Urban,GRZ,Urban Health Centre,Yes,10944,28.64268758,-12.9953053
Copperbelt,Ndola,Masala New UHC, Masala New Urban Health Centre,210030,Urban,GRZ,Urban Health Centre,Yes,45721,28.64072174,-13.00377424
Copperbelt,Ndola,Maternal Child Health UHC,Maternal Child Health UHC,210079,Urban,GRZ,Urban Health Centre,Yes,53574,28.61117264,-12.935536
Copperbelt,Ndola,Mery Berg UHC, Mery Berg Urban Health Centre,210050,Urban,Private,Urban Health Centre,Yes,,28.63379489,-12.96185629
Copperbelt,Ndola,Miramar UHC, Miramar Urban Health Centre,210089,Urban,Private,Urban Health Centre,Yes,,28.6282891,-12.95559211
Copperbelt,Ndola,Misaka HP, Misaka Health Post (Ndola),210060,Peri-Urban,GRZ,Health Post,Yes,1000,28.52997823,-12.92343678
Copperbelt,Ndola,Misundu HP,Misundu Health Post,210062,Urban,GRZ,Health Post,Yes,,28.63977544,-12.89092203
Copperbelt,Ndola,Mpendwa UHC, Mpendwa Urban Health Centre,210049,Urban,Private,Urban Health Centre,Yes,,28.64288818,-12.97908719
Copperbelt,Ndola,Mushili UHC, Mushili Urban Health Centre,210032,Urban,GRZ,Urban Health Centre,Yes,5742,28.62735749,-13.01718572
Copperbelt,Ndola,Nalwange Family Clinic, Nalwange Family Clinic,210035,Urban,Private,Urban Health Centre,No,,28.61359051,-12.93662839
Copperbelt,Ndola,Ndeke UHC, Ndeke Urban Health Centre (Ndola),210034,Urban,GRZ,Urban Health Centre,Yes,12500,28.66064941,-13.00312571
Copperbelt,Ndola,Ndola Airport Clinic,Ndola Airport Clinic,210068,Urban,GRZ,Urban Health Centre,Yes,,28.65788269,-12.99539049
Copperbelt,Ndola,Ndola Central HAHC, Ndola Central Hospital Affiliated Health Centre,210070,Rural,GRZ,Urban Health Centre,Yes,,28.63363808,-12.97079798
Copperbelt,Ndola,Ndola Central Hospital, Ndola Central Hospital,210002,Urban,GRZ,Level 3 Hospital Tertiary,Yes,,28.6336707,-12.97018895
Copperbelt,Ndola,Ndola Lime UHC, Ndola Lime Urban Health Centre,210037,Urban,GRZ,Health Post,Yes,,28.70203435,-12.9821935
Copperbelt,Ndola,Nkhwazi UHC, Nkhwazi Urban Health Centre,210036,Urban,GRZ,Urban Health Centre,Yes,35662,28.64256333,-12.94012833
Copperbelt,Ndola,Nortec UHC, Nortec Urban Health Centre,210072,Urban,GRZ,Urban Health Centre,Yes,,28.630335,-12.95700833
Copperbelt,Ndola,Northern Breweries UHC, Northern Breweries Urban Health Centre,210051,Urban,Private,Urban Health Centre,Yes,,28.6503,-12.95879833
Copperbelt,Ndola,Northern Command Military Hospital, Northern Command Military Hospital,210090,Urban,Military,Level 3 Hospital Tertiary,Yes,1008,28.65381509,-12.99124224
Copperbelt,Ndola,Peter Singogo Police UHC, Peter Singogo Police Urban Health Centre,210041,Urban,GRZ,Urban Health Centre,Yes,4080,28.63038412,-12.97134944
Copperbelt,Ndola,Railway Surgery UHC, Railway Surgery Urban Health Centre,210039,Urban,GRZ,Urban Health Centre,Yes,,28.6450057,-12.97052554
Copperbelt,Ndola,Roma HP, Roma Health Post,210059,Rural,GRZ,Health Post,Yes,1420,28.54715412,-13.09929663
Copperbelt,Ndola,Sathya Sai UHC, Sathya Sai Urban Health Centre,210040,Urban,GRZ,Urban Health Centre,Yes,21387,28.61968333,-12.92917167
Copperbelt,Ndola,Sunga Bukanda HP,Sunga Bukanda Health Post,210065,Rural,GRZ,Health Post,No,,28.7395005,-13.0390517
Copperbelt,Ndola,Tdrc UHC, TDRC Urban Health Centre,210046,Urban,GRZ,Urban Health Centre,Yes,,28.63395398,-12.97037815
Copperbelt,Ndola,TelNor UHC, TelNor Urban Health Centre,210044,Urban,Private,Urban Health Centre,Yes,,28.64710372,-12.97272466
Copperbelt,Ndola,Tug-Argan UHC, Tug-Argan Urban Health Centre,210043,Urban,Military,Urban Health Centre,Yes,8328,28.75756667,-13.08660333
Copperbelt,Ndola,Twapia UHC, Twapia Urban Health Centre,210045,Urban,GRZ,Urban Health Centre,Yes,3029,28.59013096,-12.99260644
Copperbelt,Ndola,Zambia Emory Research Project,Zambia Emory Research Project,210081,Urban,NGO,Health Post,Yes,,28.65141599,-12.95317867
Copperbelt,Ndola,Zesco UHC, Zesco Urban Health Centre,200047,Urban,GRZ,Urban Health Centre,Yes,,28.65756584,-12.96595923
Copperbelt,Ndola,Zfds Medical Centre UHC, ZFDS Medical Centre Urban Health Centre,210048,Urban,GRZ,Urban Health Centre,Yes,,28.63907167,-12.94246333
Copperbelt,Mufulira,Taung Up Clinic UHC,Taung Up Clinic UHC,209031,Urban,Military,Urban Health Centre,,,32.58801,-13.5495197
Copperbelt,Ndola,Commando District Hospital,Commando District Hospital,210033,Peri-Urban,Military,Level 1 Hospital District,,,32.56347656,-12.64033831
Copperbelt,Ndola,KalewaBarracks Provincial Hospital,KalewaBarracks Provincial Hospital,210031,Urban,Military,Level 2 Hospital Provincial,,,28.45458984,-14.3069695
Copperbelt,Ndola,Tug Argan UHC,Tug Argan UHC,210043,Peri-Urban,Military,Urban Health Centre,,,30.41015625,-13.38961959
Copperbelt,Kitwe,Mawlaick(ZCCFKitweCamp)Clinic UHC,Mawlaick(ZCCFKitweCamp)Clinic UHC,204028,Urban,Military,Urban Health Centre,,,28.27880859,-14.3069695
Eastern,Chadiza,Bwanunkha RHC, Bwanunkha Rural Health Centre,301010,Rural,GRZ,Rural Health Centre,Yes,7384,32.57665879,-13.93413699
Eastern,Chadiza,Chadiza District Hospital, Chadiza District Hospital,301001,Peri-Urban,GRZ,Level 1 Hospital District,Yes,,32.42161449,-14.06219561
Eastern,Chadiza,Chadiza UHC, Chadiza Rural Health Centre,301011,Peri-Urban,GRZ,Urban Health Centre,Yes,9816,32.47843285,-13.9605166
Eastern,Chadiza,Chamandala HP , Chamandala Health Post,301034,Rural,GRZ,Health Post,Yes,3924,32.38524762,-14.19683498
Eastern,Chadiza,Chanida HP,Chanida Health Post,301035,Rural,GRZ,Health Post,No,,32.35030757,-14.29901763
Eastern,Chadiza,Chanida RHC, Chanida Rural Health Centre,301012,Rural,GRZ,Rural Health Centre,Yes,4444,32.33205202,-14.24854599
Eastern,Chadiza,Chanjowe HP, Chanjowe Health Post,301022,Rural,GRZ,Rural Health Centre,Yes,5900,32.429564,-14.01684856
Eastern,Chadiza,Chilenga HP, Chilenga Health Post,311020,Rural,GRZ,Health Post,Yes,4320,32.36836823,-14.11692008
Eastern,Chadiza,John Rural Heath Centre, John Rural Health Centre,301025,Rural,GRZ,Rural Health Centre,Yes,5094,32.4783529,-13.96030003
Eastern,Chadiza,Kabvumo HP , Kabvumo Health Post,301028,Rural,GRZ,Health Post,Yes,2901,32.47145322,-14.17362762
Eastern,Chadiza,Kapirimpika HP, Kapirimphika Health Post,301030,Rural,GRZ,Health Post,Yes,2409,32.41713689,-14.27678031
Eastern,Chadiza,Madzaela HP, Madzaela Health Post,301021,Rural,GRZ,Health Post,Yes,5727,32.3648281,-13.95709207
Eastern,Chadiza,Miti RHC, Miti Rural Health Centre,301014,Rural,GRZ,Rural Health Centre,Yes,10114,32.62629222,-14.08735636
Eastern,Chadiza,Mkumbuzi RHC, Mkumbuzi Rural Health Centre,301020,Rural,GRZ,Rural Health Centre,Yes,3734,32.5070323,-14.22112665
Eastern,Chadiza,Msokosela HP,Msokosela Health Post,301032,Rural,GRZ,Health Post,No,,32.55928587,-14.0370719
Eastern,Chadiza,Mtaya HP, Mtaya Health Post,301029,Rural,GRZ,Health Post,Yes,3759,32.65510312,-14.01561369
Eastern,Chadiza,Naviruli HP, Naviruli Health post,301033,Rural,GRZ,Health Post,Yes,3000,32.32043386,-14.11367635
Eastern,Chadiza,Nsadzu RHC, Nsadzu Rural Health Centre,301015,Rural,GRZ,Rural Health Centre,Yes,6851,32.3390548,-14.07009852
Eastern,Chadiza,Sinalo HP , Sinalo Health Post,301023,Rural,GRZ,Health Post,Yes,2125,32.33221289,-14.24861399
Eastern,Chadiza,Tafelansoni RHC, Tafelansoni Rural Health Centre,301017,Rural,GRZ,Rural Health Centre,Yes,4665,32.43186057,-14.21630486
Eastern,Chadiza,Welele HP,Welele Health Post,301036,Rural,GRZ,Health Post,No,,32.63766546,-14.15513759
Eastern,Chadiza,Zemba RHC, Zemba Rural Health Centre,301018,Rural,GRZ,Rural Health Centre,Yes,9222,32.33912861,-14.07035604
Eastern,Chadiza,Zingalume HP, Zingalume Health Post,301031,Rural,GRZ,Health Post,Yes,2955,32.62618685,-14.08734766
Eastern,Chipata,Chakoloma HP, Chakoloma Health Post,303010166,Rural,GRZ,Health Post,Yes,3562,32.83396544,-13.1045146
Eastern,Chipata,Chamoto HP, Chamoto Health Post,303010162,Rural,GRZ,Health Post,Yes,4537,32.61901023,-13.35834665
Eastern,Chipata,Champhande RHC, Champhande Rural Health Centre,303040110,Rural,GRZ,Rural Health Centre,Yes,9791,32.52980322,-13.87542
Eastern,Chipata,Chanyumbu HP, Chanyumbu Health Post,303010164,Rural,GRZ,Health Post,Yes,5000,32.5675289,-13.26811514
Eastern,Chipata,Chikando RHC, Chikando Rural Health Centre,311011,Rural,GRZ,Rural Health Centre,Yes,9547,32.46538789,-13.84216249
Eastern,Chipata,Chikungu HP, Chikungu Health Post,303030155,Rural,GRZ,Health Post,Yes,4105,32.25694397,-13.76499941
Eastern,Chipata,Chinjala HP, Chinjala Health Post,303020161,Rural,GRZ,Health Post,Yes,6875,32.48404553,-13.63555726
Eastern,Chipata,Chinunda RHC, Chinunda Rural Health Centre,303010112,Rural,GRZ,Rural Health Centre,Yes,12990,32.65405852,-13.33495334
Eastern,Chipata,Chinyaku HP, Chinyaku Health Post,303040150,Rural,GRZ,Health Post,Yes,4105,32.56393395,-13.72178707
Eastern,Chipata,Chipangali RHC, Chipangali Rural Health Centre,303010113,Rural,GRZ,Rural Health Centre,Yes,8565,32.81561863,-13.24895591
Eastern,Chipata,Chiparamba RHC, Chiparamba Rural Health Centre,303010114,Rural,GRZ,Rural Health Centre,Yes,10683,32.48110794,-13.56980947
Eastern,Chipata,Chipata Central Hospital, Chipata Central Hospital,303010199,Urban,GRZ,Level 3 Hospital Tertiary,Yes,,32.63827591,-13.6419479
Eastern,Chipata,Chipata District Hospital, Chipata District Hospital,303020001,Urban,GRZ,Level 1 Hospital District,Yes,,32.58392338,-13.64999633
Eastern,Chipata,Chipata HAHC, Chipata Hospital Affiliated Health Centre,303020131,Urban,GRZ,Urban Health Centre,Yes,10139,32.63946933,-13.64096889
Eastern,Chipata,Chipungo RHC, Chipungo Rural Health Centre,303040115,Rural,GRZ,Health Post,Yes,6153,32.48713461,-13.76145544
Eastern,Chipata,Chiswa HP, Chiswa Health Post,303040154,Rural,GRZ,Health Post,Yes,5447,32.30491262,-13.91564122
Eastern,Chipata,Chizenje RHC, Chizenje Rural Health Centre,303030140,Rural,GRZ,Rural Health Centre,Yes,14321,32.30755325,-13.62882797
Eastern,Chipata,Dambwe HP,Dambwe Health Post,303020168,Rural,GRZ,Health Post,Yes,3882,32.80138046,-13.69375477
Eastern,Chipata,Dwankhozi RHC, Dwankhozi Rural Health Centre,303058,Rural,GRZ,Health Post,Yes,4360,32.89640023,-13.25215879
Eastern,Chipata,Feni HP, Feni Health Post,303040165,Rural,GRZ,Health Post,Yes,3225,32.74302793,-13.78492869
Eastern,Chipata,Jerusalem RHC, Jerusalem Rural Health Centre,303040116,Rural,GRZ,Rural Health Centre,Yes,10312,32.61260641,-13.84982521
Eastern,Chipata,Kadama HP, Kadama Health Post,303030151,Rural,GRZ,Health Post,Yes,8380,32.19143699,-13.71613468
Eastern,Chipata,Kamulaza RHC, Kamulaza Rural Health Centre,303030117,Rural,GRZ,Rural Health Centre,Yes,10025,32.3758581,-13.83758354
Eastern,Chipata,Kapata UHC, Kapata Urban Health Centre,303020197,Urban,GRZ,Urban Health Centre,Yes,29437,32.6423,-13.6247
Eastern,Chipata,Kasenengwa RHC, Kasenengwa Rural Health Centre,303030119,Rural,GRZ,Rural Health Centre,Yes,10137,32.32256178,-13.71766831
Eastern,Chipata,Kasenga RHC, Kasenga Rural Health Centre,303042,Rural,GRZ,Rural Health Centre,Yes,7073,32.80721769,-13.41795896
Eastern,Chipata,Katambo HP, Katambo Health Post,303040159,Rural,GRZ,Health Post,Yes,4070,32.79744464,-13.87595159
Eastern,Chipata,Katandala RHC, Katandala Rural Health Centre,303040120,Rural,GRZ,Rural Health Centre,Yes,6480,32.74715459,-13.71821658
Eastern,Chipata,Katondo HP, Katondo Health Post,303030139,Rural,GRZ,Health Post,Yes,5086,32.37604957,-13.63752217
Eastern,Chipata,Kayeka HP, Kayeka Health Post,303040138,Rural,GRZ,Health Post,Yes,4391,32.67706471,-13.75018029
Eastern,Chipata,Khoza HP,Khoza Health Post,303030198,Rural,GRZ,Health Post,Yes,,32.22535583,-13.6604645
Eastern,Chipata,Kwenje RHC, Kwenje Rural Health Centre,303030121,Rural,GRZ,Rural Health Centre,Yes,11591,32.23551893,-13.8299476
Eastern,Chipata,Lunkwakwa UHC, Lunkwakwa Urban Health Centre,311013,Rural,GRZ,Urban Health Centre,Yes,7310,32.61758711,-13.59786659
Eastern,Chipata,Madziatuwa RHC, Madziatuwa Rural Health Centre,303010143,Rural,GRZ,Rural Health Centre,Yes,5023,32.69763613,-13.08621699
Eastern,Chipata,Madzimawe RHC, Madzimawe Rural Health Centre,303010148,Rural,GRZ,Rural Health Centre,Yes,11374,32.41160167,-13.7108647
Eastern,Chipata,Madzimoyo RHC, Madzimoyo Rural Health Centre,303020124,Rural,GRZ,Rural Health Centre,Yes,4371,32.50232782,-13.69954844
Eastern,Chipata,Mafuta RHC, Mafuta Rural Health Centre,303010146,Rural,GRZ,Rural Health Centre,Yes,5111,32.73093785,-13.37183489
Eastern,Chipata,Magwero RHC, Magwero Rural Health Centre,303020125,Rural,GRZ,Rural Health Centre,Yes,5337,32.78097027,-13.65903786
Eastern,Chipata,Makungwa HP, Makungwa Health Post,303040152,Rural,GRZ,Health Post,Yes,,32.41609368,-13.79773296
Eastern,Chipata,Makwe HP, Makwe Health Post,303040144,Rural,GRZ,Health Post,Yes,5337,32.65381927,-13.80931305
Eastern,Chipata,Mbenjele HP, Mbenjele Health Post,303010153,Rural,GRZ,Health Post,Yes,9001,32.48235969,-13.36671009
Eastern,Chipata,Mchini HP, Mchini Health Post,303020147,Peri-Urban,GRZ,Health Post,Yes,15370,32.6553237,-13.66135867
Eastern,Chipata,Mkanda RHC, Mkanda Rural Health Centre,303026,Rural,GRZ,Rural Health Centre,Yes,9199,32.80586994,-13.47217804
Eastern,Chipata,Mlanga HP, Mlanga Health Post,303040149,Rural,GRZ,Health Post,Yes,2146,32.70987589,-13.96445055
Eastern,Chipata,MNoro RHC, MNoro Rural Health Centre,303010127,Rural,GRZ,Rural Health Centre,Yes,112217,32.64685486,-13.52566768
Eastern,Chipata,Mnukwa RHC, Mnukwa Rural Health Centre,303010145,Rural,GRZ,Rural Health Centre,Yes,6356,32.60501774,-13.41867273
Eastern,Chipata,Msekera RHC, Msekera Rural Health Centre,303020128,Rural,GRZ,Rural Health Centre,Yes,6849,32.56359621,-13.6445627
Eastern,Chipata,Mshawa RHC, Mshawa Rural Health Centre,303010129,Rural,GRZ,Rural Health Centre,Yes,10221,32.71586384,-13.48857001
Eastern,Chipata,Muzeyi RHC, Muzeyi Rural Health Centre,301010136,Rural,Faith Based,Rural Health Centre,Yes,28764,32.44930923,-13.50103134
Eastern,Chipata,Mwami  HAHC, Mwami Hospital Affiliated Health Centre,303040198,Rural,Faith Based,Rural Health Centre,Yes,9481,32.76485052,-13.80793912
Eastern,Chipata,Mwami Mission Hospital, Mwami Mission Hospital,303040002,Rural,Faith Based,Level 1 Hospital District,Yes,,32.76494181,-13.8079739
Eastern,Chipata,Mwasauka HP, Mwasauka Health Post,303040156,Rural,GRZ,Health Post,Yes,3500,32.54681766,-13.83858511
Eastern,Chipata,Mwita HP, Mwita Health Post,303010160,Rural,GRZ,Health Post,Yes,6203,32.80385454,-13.28438735
Eastern,Chipata,Namseche RHC, Namseche Rural Health Centre,303020130,Urban,GRZ,Urban Health Centre,Yes,16549,32.64880978,-13.67520571
Eastern,Chipata,Rukuzye RHC, Rukuzye Rural Health Centre,303010133,Rural,GRZ,Rural Health Centre,Yes,8452,32.81376162,-13.35486017
Eastern,Chipata,Samuel RHC, Samuel Rural Health Centre,303030132,Rural,GRZ,Rural Health Centre,Yes,8074,32.12895988,-13.75578347
Eastern,Chipata,St. Benedict RHC, St Benedict Rural Health Centre,303040157,Rural,GRZ,Health Post,Yes,3868,32.6283354,-13.77661034
Eastern,Chipata,Tamanda RHC, Tamanda Rural Health Centre,303010134,Rural,GRZ,Rural Health Centre,Yes,9938,32.88239029,-13.44047096
Eastern,Chipata,Vizenge RHC, Vizenge Rural Health Centre,303035,Rural,GRZ,Rural Health Centre,Yes,10024,32.88237323,-13.30951593
Eastern,Chipata,Walela HP, Walela Health Post,303010167,Rural,GRZ,Urban Health Centre,Yes,17533,32.62467678,-13.61741197
Eastern,Katete,Bethasida UHC,Bethasida UHC,304090,Urban,Private,Urban Health Centre,Yes,26715,32.0494222,-14.06044508
Eastern,Katete,Chibolya HP, Chibolya Health Post,304035,Urban,GRZ,Urban Health Centre,Yes,33150,32.04776605,-14.06637195
Eastern,Katete,Chimtende RHC, Chimtende Rural Health Centre,304010,Rural,GRZ,Rural Health Centre,Yes,13105,31.89181872,-13.92925555
Eastern,Katete,Chindwale HP, Chindwale Health Post,304025,Rural,GRZ,Rural Health Centre,Yes,4798,32.02136703,-14.30196779
Eastern,Katete,Chinkhombe RHC, Chinkhombe Rural Health Centre,3040273,Rural,GRZ,Rural Health Centre,Yes,4104,31.97670552,-13.93187772
Eastern,Katete,Kafumbwe RHC, Kafumbwe Rural Health Centre,304011,Rural,GRZ,Rural Health Centre,Yes,23000,32.23773281,-14.21684344
Eastern,Katete,Kafunkha HP, Kafunkha Health Post,304033,Rural,GRZ,Health Post,Yes,8829,31.94832445,-14.08686642
Eastern,Katete,Kagoro RHC, Kagoro Rural Health Centre,304012,Rural,GRZ,Rural Health Centre,Yes,16936,32.07140603,-14.24342775
Eastern,Katete,Kakula HP, Kakula Health Post,304026,Rural,GRZ,Health Post,Yes,5622,32.07365392,-14.35021915
Eastern,Katete,Kalimeta HP,Kalimeta Health Post,304042,Rural,GRZ,Health Post,Yes,,32.1592758,-14.08304371
Eastern,Katete,Kamiza RHC, Kamiza Rural Health Centre,304020,Rural,GRZ,Rural Health Centre,Yes,9136,32.10578325,-13.83956015
Eastern,Katete,Kamphambe RHC, Kamphambe Rural Health Centre,304032,Rural,GRZ,Rural Health Centre,Yes,5390,32.15854095,-14.02322117
Eastern,Katete,Katete Boma Health Centre, Katete Boma Health Centre,304014,Peri-Urban,GRZ,Urban Health Centre,Yes,15275,32.06454012,-14.09112773
Eastern,Katete,Katiula HP, Katiula Health Post,304037,Rural,GRZ,Rural Health Centre,Yes,,32.25779275,-14.10692032
Eastern,Katete,Kawaza HP,Kawaza Health Post,304044,Rural,GRZ,Health Post,No,,32.16433793,-14.25626292
Eastern,Katete,Kwenje HP, Kwenje Health Post,304045,Rural,GRZ,Health Post,No,,31.84877342,-14.0285661
Eastern,Katete,Lukweta HP, Lukweta Health Post,304036,Rural,GRZ,Health Post,Yes,5253,31.93226119,-13.84639441
Eastern,Katete,Lunga HP, Lunga Health Post,304040,Rural,GRZ,Health Post,Yes,3329,32.21234037,-14.29769284
Eastern,Katete,Lupando HP,Lupando Health Post,304046,Rural,GRZ,Health Post,No,,31.92151867,-14.11731931
Eastern,Katete,Magobo HP,Magobo Health Post,304047,Rural,GRZ,Health Post,No,,32.02570116,-13.78250945
Eastern,Katete,Makwenda HP, Makwenda Health Post,304038,Rural,GRZ,Health Post,Yes,4863,31.91500333,-14.00684744
Eastern,Katete,Matunga HP, Matunga Health Post,304041,Rural,GRZ,Health Post,Yes,2580,32.15475554,-13.84245909
Eastern,Katete,Mbinga HP, Mbinga Health Post,304034,Rural,GRZ,Health Post,Yes,7129,32.14479034,-14.14532687
Eastern,Katete,Mindola RHC, Mindola Rural Health Centre,304015,Rural,GRZ,Rural Health Centre,Yes,10574,32.14198912,-14.17616686
Eastern,Katete,Mphangwe HP, Mphangwe Health Post,304016,Rural,GRZ,Health Post,Yes,9022,32.06420962,-14.04114968
Eastern,Katete,Mtetezi Zambia National Service RHC, Mtetezi Zambia National Service Rural Health Centre,304013,Rural,Military,Rural Health Centre,Yes,7975,32.15611298,-13.95432013
Eastern,Katete,Mutipa HP,Mutipa Health Post,304048,Rural,GRZ,Health Post,No,,32.25670818,-14.28372697
Eastern,Katete,Muzime HP,Muzime Health Post,304091,Rural,GRZ,Health Post,No,,32.00748164,-14.18429408
Eastern,Katete,Mwandafisi HP,Mwandafisi Health Post,304043,Rural,GRZ,Health Post,Yes,3227,32.22787444,-14.05307236
Eastern,Katete,Mwaziputa HP,Mwaziputa Health Post,304049,Rural,GRZ,Health Post,No,,32.11619351,-13.99756035
Eastern,Katete,Mzunza HP, Mzunza Health Post,304039,Rural,GRZ,Health Post,Yes,1906,31.98135133,-13.87646762
Eastern,Katete,Nyembe RHC, Nyembe Rural Health Centre,304022,Rural,GRZ,Rural Health Centre,Yes,5564,31.95432998,-14.03243797
Eastern,Katete,St Francis General Hospital, St Francis General Hospital,304050,Urban,Faith Based,Level 1 Hospital District,Yes,,32.01460952,-14.06562985
Eastern,Katete,Umodzi HP,Umodzi Health Post,304051,Rural,GRZ,Health Post,No,,32.22275927,-13.98169516
Eastern,Katete,Undi RHC, Undi Rural Health Centre,304023,Rural,GRZ,Rural Health Centre,Yes,8006,32.05591509,-13.99853298
